
STR_ACGUI_MM_BTN_CLOSE,Close,Close
STR_ACGUI_MM_BTN_Opt,Video,Video
STR_ACGUI_MM_LABEL,Liberate Island,Liberate Island
STR_ACGUI_MM_BTN_HBFIX,	Fix Headbug,Fix Headbug
STR_ACGUI_VM_TXT_VD,View distance %1,Distance de vue %1
STR_ACGUI_VM_TXT_TG,Ground texture %1,	Texture du sol %1
STR_ACGUI_VM_BTN_CLOSE,Ok,Valider

STR_R3F_REV_btn_reapparition,Respawn at camp,Réapparaître au camp
STR_R3F_REV_reapparition_camp_en_cours,Respawn at camp in progress...,Réapparition au camp en cours...

STR_R3F_REV_attente_reanimation,You're waiting for revive...,Vous êtes en attente de réanimation...
STR_R3F_REV_marqueur_attente_reanimation,%1 unconscious,%1 inconscient

STR_R3F_REV_nb_reanimations_plusieurs,You've been healed...\nYou still have %1 possibilities of healing.,Vous avez été soigné...\nIl vous reste %1 possibilités de réanimation.
STR_R3F_REV_nb_reanimations_une,You've been healed...\nYou only have one possibility of healing before return to base.,Vous avez été soigné...\nIl ne vous reste plus qu'une réanimation possible avant retour au camp.
STR_R3F_REV_nb_reanimations_zero,You've been healed...\nIt was your last possibility of healing.,Vous avez été soigné...\nC'était votre dernière possibilité de réanimation.

STR_R3F_REV_plus_de_reanimation,You've reached the limit of healing...,Vous avez atteint le nombre limite de réanimations...
STR_R3F_REV_hors_jeu,You're now out of the game...,Vous êtes à présent hors jeu...
STR_R3F_REV_respawn_camp,You respawn at camp...,Vous réapparaissez au camp...

STR_R3F_REV_ne_pas_se_reanimer_soi_meme,You can't revive yourself.,Vous ne pouvez pas vous réanimer vous-même.

